title|year|Abstract|Keywords|Keywords-Plus|Web-of-Science-Categories|Times-Cited|Usage-Count-Last-180-days|Usage-Count-Since-2013
Enhancing deep learning sentiment analysis with ensemble techniques in social applications|2017|Deep learning techniques for Sentiment Analysis have become very popular. They provide automatic feature extraction and both richer representation capabilities and better performance than traditional feature based techniques (i.e., surface methods). Traditional surface approaches are based on complex manually extracted features, and this extraction process is a fundamental question in feature driven methods. These long-established approaches can yield strong baselines, and their predictive capabilities can be used in conjunction with the arising deep learning methods. In this paper we seek to improve the performance of deep learning techniques integrating them with traditional surface approaches based on manually extracted features. The contributions of this paper are sixfold. First, we develop a deep learning based sentiment classifier using a word embeddings model and a linear machine learning algorithm. This classifier serves as a baseline to compare to subsequent results. Second, we propose two ensemble techniques which aggregate our baseline classifier with other surface classifiers widely used in Sentiment Analysis. Third, we also propose two models for combining both surface and deep features to merge information from several sources. Fourth, we introduce a taxonomy for classifying the different models found in the literature, as well as the ones we propose. Fifth, we conduct several experiments to compare the performance of these models with the deep learning baseline. For this, we use seven public datasets that were extracted from the microblogging and movie reviews domain. Finally, as a result, a statistical study confirms that the performance of these proposed models surpasses that of our original baseline on Fl-Score. (C) 2017 The Authors. Published by Elsevier Ltd.|Ensemble; Deep learning; Sentiment analysis; Machine learning; Natural language processing|CLASSIFICATION; POLARITY|Computer Science, Artificial Intelligence; Engineering, Electrical \& Electronic; Operations Research \& Management Science|5|14|93
Impact of media richness and flow on e-learning technology acceptance|2009|Advances in e-learning technologies parallels a general increase in sophistication by computer users. The use of just one theory or model, such as the technology acceptance model, is no longer sufficient to study the intended use of e-learning systems. Rather, a combination of theories must be integrated in order to fully capture the complexity of e-learners, who are both system users and learners. The current research presents an integrated theoretical framework to study users' acceptance of streaming media for e-learning. Three streams of research provide the basis for this integrated framework: the technology acceptance model, flow theory and media richness theory. Students enrolled in an online section of an information systems course used one of three different combinations of text, streamed audio and streamed video. Regression analysis was used to test the hypotheses in this field experiment. Perceived ease of use was a predictor of perceived usefulness: both the perceived usefulness and the attitude of the user were predictors of intention to use. Richer content-presentation types were positively correlated with higher concentration levels but showed mixed results when correlated with perceived usefulness. Results from this study have practical implications for those interested in integrating streaming media into e-learning. (C) 2008 Elsevier Ltd. All rights reserved.|Distance education and telelearning; Teaching/learning strategies; Lifelong learning; Multimedia/hypermedia systems|INFORMATION-TECHNOLOGY; USER ACCEPTANCE; INTERNET; MODEL; USAGE; SATISFACTION; MULTIMEDIA; EXPERIENCE; INTENTION; BEHAVIOR|Computer Science, Interdisciplinary Applications; Education \& Educational Research|158|4|93
What's buzzing in the blizzard of buzz? Automotive component isolation in social media postings|2013|In the blizzard of social media postings, isolating what is important to a corporation is a huge challenge. In the consumer-related manufacturing industry, for instance, manufacturers and distributors are faced with an unrelenting, accumulating snow of millions of discussion forum postings. In this paper, we describe and evaluate text mining tools for categorizing this user-generated content and distilling valuable intelligence frozen in the mound of postings. Using the automotive industry as an example, we implement and tune the parameters of a text-mining model for component diagnostics from social media. Our model can automatically and accurately isolate the vehicle component that is the subject of a user discussion. The procedure described also rapidly identifies the most distinctive terms for each component category, which provides further marketing and competitive intelligence to manufacturers, distributors, service centers, and suppliers. (c) 2012 Elsevier B.V. All rights reserved.|Social media analytics; Diagnostics; Text mining; User-generated content (UGC)|CUSTOMER COMPLAINT MANAGEMENT; TEXT CATEGORIZATION; INFORMATION EXTRACTION; CLASSIFICATION; COMMUNITIES; ONLINE; DOCUMENTS; KNOWLEDGE; FRAMEWORK; REVIEWS|Computer Science, Artificial Intelligence; Computer Science, Information Systems; Operations Research \& Management Science|28|3|90
Community of inquiry as a theoretical framework to foster ``epistemic engagement{''} and ``cognitive presence{''} in online education|2009|In this paper, several recent theoretical conceptions of technology-mediated education are examined and a study of 2159 online learners is presented. The study validates an instrument designed to measure teaching, social, and cognitive presence indicative of a community of learners within the community of inquiry (CoI) framework {[}Garrison, D. R., Anderson, T., \& Archer, W. (2000). Critical inquiry in a text-based environment: Computer conferencing in higher education. The Internet and Higher Education, 2, 1-19; Garrison, D. R., Anderson, T., \& Archer, W. (2001). Critical thinking, cognitive presence. and computer conferencing in distance education. American Journal of Distance Education, 15(1), 7-23]. Results indicate that the survey items cohere into interpretable factors that represent the intended constructs. Further it was determined through structural equation modeling that 70\% of the variance in the online students' levels of cognitive presence, a multivariate measure of learning, can be modeled based on their reports of their instructors' skills in fostering teaching presence and their own abilities to establish a sense of social presence. Additional analysis identifies more details of the relationship between learner understandings of teaching and social presence and its impact on their cognitive presence. Implications for online teaching, policy, and faculty development are discussed. (C) 2008 Elsevier Ltd. All rights reserved.|Online learning; Theory; Community of inquiry model; Teaching presence; Social presence; Cognitive presence; Study|GENDER|Computer Science, Interdisciplinary Applications; Education \& Educational Research|147|7|90
Exploring determinants of voting for the ``helpfulness{''} of online user reviews: A text mining approach|2011|The ``helpfulness{''} feature of online user reviews helps consumers cope with information overloads and facilitates decision-making. However, many online user reviews lack sufficient helpfulness votes for other users to evaluate their true helpfulness level. This study empirically examines the impact of the various features, that is, basic, stylistic, and semantic characteristics of online user reviews on the number of helpfulness votes those reviews receive. Text mining techniques are employed to extract semantic characteristics from review texts. Our findings show that the semantic characteristics are more influential than other characteristics in affecting how many helpfulness votes reviews receive. Our findings also suggest that reviews with extreme opinions receive more helpfulness votes than those with mixed or neutral opinions. This paper sheds light on the understanding of online users' helpfulness voting behavior and the design of a better helpfulness voting mechanism for online user review systems. (C) 2010 Elsevier B.V. All rights reserved.|Online user review; Helpfulness; Text mining; Ordinal logistic regression; Latent Semantic Analysis|WORD-OF-MOUTH; LATENT SEMANTIC ANALYSIS; INFORMATION-SYSTEMS; SALES; VARIABLES; DYNAMICS; INTERNET; MODEL|Computer Science, Artificial Intelligence; Computer Science, Information Systems; Operations Research \& Management Science|108|14|89
Predicting e-commerce company success by mining the text of its publicly-accessible website|2012|We analyze the impact of textual information from e-commerce companies' websites on their commercial success. The textual information is extracted from web content of e-commerce companies divided into the Top 100 worldwide most successful companies and into the Top 101 to 500 worldwide most successful companies. It is shown that latent semantic concepts extracted from the analysis of textual information can be adopted as success factors for a Top 100 e-commerce company classification. This contributes to the existing literature concerning e-commerce success factors. As evaluation, a regression model based on these concepts is built that is successful in predicting the commercial success of the Top 100 companies. These findings are valuable for e-commerce websites creation. (c) 2012 Elsevier Ltd. All rights reserved.|Success factor; E-commerce; LSI; Classification; Text mining; Website|INFORMATION-SYSTEMS EVALUATION; PURCHASING BEHAVIOR; WEB SITES; SATISFACTION; PERFORMANCE; METRICS; ACCEPTANCE; CUSTOMERS; RETRIEVAL; USABILITY|Computer Science, Artificial Intelligence; Engineering, Electrical \& Electronic; Operations Research \& Management Science|29|0|87
Exploring the feasibility and accuracy of Latent Semantic Analysis based text mining techniques to detect similarity between patent documents and scientific publications|2010|In this study, we examine and validate the use of existing text mining techniques (based on the vector space model and latent semantic indexing) to detect similarities between patent documents and scientific publications. Clearly, experts involved in domain studies would benefit from techniques that allow similarity to be detected-and hence facilitate mapping, categorization and classification efforts. In addition, given current debates on the relevance and appropriateness of academic patenting, the ability to assess content-relatedness between sets of documents-in this case, patents and publications-might become relevant and useful. We list several options available to arrive at content based similarity measures. Different options of a vector space model and latent semantic indexing approach have been selected and applied to the publications and patents of a sample of academic inventors (n = 6). We also validated the outcomes by using independently obtained validation scores of human raters. While we conclude that text mining techniques can be valuable for detecting similarities between patents and publications, our findings also indicate that the various options available to arrive at similarity measures vary considerably in terms of accuracy: some generally accepted text mining options, like dimensionality reduction and LSA, do not yield the best results when working with smaller document sets. Implications and directions for further research are discussed.|Text mining; Latent Semantic Analysis; Science-technology linkages; Patent-publication pairs; Author-inventor relationships|COMBINING FULL-TEXT; INFORMATION-RETRIEVAL; SCIENCE; TECHNOLOGY; KNOWLEDGE; CLASSIFICATION; RESEARCHERS; PERFORMANCE; SPACE; RANK|Computer Science, Interdisciplinary Applications; Information Science \& Library Science|26|3|87
Using `core documents' for detecting and labelling new emerging topics|2012|The notion of `core documents', first introduced in the context of co-citation analysis and later re-introduced for bibliographic coupling and extended to hybrid approaches, refers to the representation of the core of a document set according to given criteria. In the present study, core documents are used for the identification of new emerging topics. The proposed method proceeds from independent clustering of disciplines in different time windows. Cross-citations between core documents and clusters in different periods are used to detect new, exceptionally growing clusters or clusters with changing topics. Three paradigmatic types of new, emerging topics are distinguished. Methodology is illustrated using the example of four ISI subject categories selected from the life sciences, applied sciences and the social sciences.|Hybrid clustering; Bibliographic coupling; Text mining; Core documents; Emerging topics|COCITATION ANALYSIS; CITATION; SCIENCE; TEXT|Computer Science, Interdisciplinary Applications; Information Science \& Library Science|38|4|86
Detecting variation of emotions in online activities|2017|Online text sources form evolving large scale data repositories out of which valuable knowledge about human emotions can be derived. Beyond the primary emotions which refer to the global emotional signals, deeper understanding of a wider spectrum of emotions is important to detect online public views and attitudes. The present work is motivated by the need to test and provide a system that categorizes emotion in online activities. Such a system can be beneficial for online services, companies recommendations, and social support communities. The main contributions of this work are to: (a) detect primary emotions, social ones, and those that characterize general affective states from online text sources, (b) compare and validate different emotional analysis processes to highlight those that are most efficient, and (c) provide a proof of concept case study to monitor and validate online activity, both explicitly and implicitly. The proposed approaches are tested on three datasets collected from different sources, i.e., news agencies, Twitter, and Facebook, and on different languages, i.e., English and Greek. Study results demonstrate that the methodologies at hand succeed to detect a wider spectrum of emotions out of text sources. (C) 2017 Elsevier Ltd. All rights reserved.|Emotion detection; Machine learning; Lexicon-based approach; Hybrid process|SENTIMENT ANALYSIS; PERCEPTIONS; TRANSLATION; TEXT|Computer Science, Artificial Intelligence; Engineering, Electrical \& Electronic; Operations Research \& Management Science|1|83|83
Major trends in knowledge management research: a bibliometric study|2016|This study provides an overview of the knowledge management literature from 1980 through 2014. We employ bibliometric and text mining analyses on a sample of 500 most cited articles to examine the impact of factors such as number of authors, references, pages, and keywords on the number of citations that they received. We also investigate major trends in knowledge management literature including the contribution of different countries, variations across publication years, and identifying active research areas and major journal outlets. Our study serves as a resource for future studies by shedding light on how trends in knowledge management research have evolved over time and demonstrating the characteristics of the most cited articles in this literature. Specifically, our results reveal that the most cited articles are from United States and United Kingdom. The most prolific year in terms of the number of published articles is 2009 and in terms of the number of citations is 2012. We also found a positive relationship between the number of publications' keywords, references, and pages and the number of citations that they have received. Finally, the Journal of Knowledge Management has the largest share in publishing the most cited articles in this field.|Bibliometric; Citation analysis; Knowledge management; Research productivity|GOOGLE SCHOLAR; PART I; CITATION; SCIENCE; IMPACT; DISCIPLINE; AUTHORSHIP; DISCOURSES; JOURNALS; ARTICLES|Computer Science, Interdisciplinary Applications; Information Science \& Library Science|12|13|83
